iter	Logloss
0	0.688930391
1	0.684091148
2	0.6794321638
3	0.6752985982
4	0.6703385922
5	0.6660284824
6	0.6609030427
7	0.6574367408
8	0.6533501288
9	0.649201077
10	0.6451474725
11	0.6404214891
12	0.636659684
13	0.632610921
14	0.6290940721
15	0.6255383338
16	0.62160626
17	0.6171273242
18	0.6133567059
19	0.6095391134
20	0.6061216167
21	0.6022314846
22	0.5987302831
23	0.5957810541
24	0.5920962014
25	0.5891430051
26	0.5859115795
27	0.582258419
28	0.5782757319
29	0.5752140585
30	0.5715921776
31	0.5687632109
32	0.5654181948
33	0.5623823183
34	0.5589760743
35	0.5554671564
36	0.5524617723
37	0.5489851479
38	0.5458531756
39	0.5424423511
40	0.5393690775
41	0.5362696931
42	0.5331546111
43	0.5303388013
44	0.5282844123
45	0.5258419881
46	0.5234304008
47	0.5205950666
48	0.5172831199
49	0.5143959124
50	0.5119735003
51	0.5092780171
52	0.5068837787
53	0.5037421661
54	0.5017863221
55	0.4991123863
56	0.4973174598
57	0.4944036194
58	0.4921711645
59	0.4898696113
60	0.4879218438
61	0.4861628339
62	0.483521786
63	0.4812728987
64	0.4791442224
65	0.4776406169
66	0.4751270031
67	0.4728753983
68	0.4701508402
69	0.4686835744
70	0.4664960772
71	0.4643262717
72	0.4617913354
73	0.4599868116
74	0.4575878046
75	0.4554357643
76	0.4533439056
77	0.4515704799
78	0.4499946437
79	0.4480557873
80	0.4465680303
81	0.4451644336
82	0.4441161424
83	0.4419239426
84	0.4399972324
85	0.4384780634
86	0.4367357352
87	0.4350332049
88	0.4336774291
89	0.4315787736
90	0.4303081024
91	0.4291845999
92	0.4276832819
93	0.4265820813
94	0.4244294116
95	0.42278951
96	0.4211902191
97	0.4205131069
98	0.4185769447
99	0.4172613097
100	0.4158004074
101	0.4139167262
102	0.4125679001
103	0.4107832828
104	0.4095107405
105	0.4080009052
106	0.4060825031
107	0.4047839443
108	0.4030342184
109	0.4017145131
110	0.3998497739
111	0.3984088975
112	0.3971036086
113	0.3955047092
114	0.3936234515
115	0.3919942229
116	0.3903399983
117	0.3887197065
118	0.3874131112
119	0.3861320061
120	0.3846642239
121	0.383149241
122	0.381565725
123	0.3800977344
124	0.3789696679
125	0.3774171858
126	0.3764811728
127	0.3751532501
128	0.3734064042
129	0.3722040976
130	0.3710787674
131	0.3697424909
132	0.368772233
133	0.3675050125
134	0.3662809958
135	0.3650077703
136	0.3639151254
137	0.3628929961
138	0.3620344528
139	0.3605518808
140	0.3591566698
141	0.3582413619
142	0.356920327
143	0.3557423423
144	0.3544794591
145	0.3533529016
146	0.3521457831
147	0.3506997299
148	0.3498109614
149	0.3487304548
150	0.3478485409
151	0.3465697409
152	0.3456027739
153	0.3445344619
154	0.3436221338
155	0.342142009
156	0.3412140703
157	0.3404305137
158	0.339479386
159	0.3383762804
160	0.3372410084
161	0.3364783783
162	0.3353691776
163	0.3346257591
164	0.3333213273
165	0.3321771042
166	0.3312334919
167	0.3301632729
168	0.3293209725
169	0.3286805674
170	0.327373986
171	0.3262709642
172	0.3256682823
173	0.3246125558
174	0.3242533605
175	0.3233752159
176	0.3228687695
177	0.3220679256
178	0.3213183115
179	0.3201577346
180	0.3195739094
181	0.3188084732
182	0.317970392
183	0.3168885385
184	0.3164091816
185	0.3155788589
186	0.3148490259
187	0.313852285
188	0.3128560152
189	0.3122375721
190	0.3111923677
191	0.3104260514
192	0.309467071
193	0.3083106748
194	0.307743095
195	0.3071745709
196	0.3063914127
197	0.3051146568
198	0.3044761028
199	0.3038537285
200	0.3031333091
201	0.3020999074
202	0.3012268165
203	0.3008163488
204	0.2997741302
205	0.2987960967
206	0.2979949037
207	0.2971489583
208	0.2963112348
209	0.2953383919
210	0.2947992201
211	0.2937740295
212	0.2930767614
213	0.2921754415
214	0.2915437104
215	0.2913113017
216	0.2905159954
217	0.2895398866
218	0.2889142523
219	0.2880565395
220	0.2877665096
221	0.2870244254
222	0.2861966331
223	0.285495625
224	0.2846699797
225	0.2840311913
226	0.2832343768
227	0.2822459611
228	0.2813325519
229	0.2808248569
230	0.2802674794
231	0.2797281524
232	0.2790293429
233	0.2785168536
234	0.2779005117
235	0.277464866
236	0.276900742
237	0.2763242306
238	0.2756819286
239	0.2750660541
240	0.2747603882
241	0.2742780785
242	0.2736058849
243	0.2730443632
244	0.2726458992
245	0.2718132591
246	0.2711841727
247	0.2704761142
248	0.269612612
249	0.2690751366
250	0.2687906379
251	0.2683279256
252	0.2675705158
253	0.2672362631
254	0.2668407969
255	0.2662069093
256	0.2655129311
257	0.2651035241
258	0.2644277643
259	0.2639227023
260	0.2633768519
261	0.2626083537
262	0.2620854142
263	0.2614600352
264	0.2608372194
265	0.2603620643
266	0.2598153862
267	0.2593788646
268	0.2589616627
269	0.2588885525
270	0.2583920062
271	0.2577180639
272	0.2572406107
273	0.2566128673
274	0.256249834
275	0.2554591432
276	0.2546490248
277	0.2541744968
278	0.2533899968
279	0.2527731265
280	0.2526449328
281	0.2522088854
282	0.2516811483
283	0.2511589862
284	0.2507939957
285	0.250199922
286	0.2496909446
287	0.2490797983
288	0.2485957936
289	0.2480317825
290	0.247654157
291	0.2471206049
292	0.2467964253
293	0.2461656726
294	0.2458016373
295	0.245303586
296	0.2448304139
297	0.2443418666
298	0.2436141215
299	0.2428800404
300	0.2423627822
301	0.2417441505
302	0.2412340099
303	0.2409518377
304	0.2405179411
305	0.2401918335
306	0.2396197716
307	0.2393147675
308	0.2389914434
309	0.2384296942
310	0.2377962771
311	0.237404645
312	0.2369795885
313	0.2362929459
314	0.2356665245
315	0.2352200169
316	0.2347967582
317	0.2342372851
318	0.2339669889
319	0.2336634286
320	0.2332115634
321	0.2328520078
322	0.2324351028
323	0.2319764404
324	0.2316388532
325	0.2312206105
326	0.2309239877
327	0.2305122291
328	0.2300395794
329	0.2294213975
330	0.229230112
331	0.2287476157
332	0.2283941413
333	0.2280600219
334	0.2278092297
335	0.2273851816
336	0.227163182
337	0.2267705061
338	0.2263858942
339	0.2257610152
340	0.2252998993
341	0.224886879
342	0.2245329388
343	0.2239446585
344	0.2236308176
345	0.2233435507
346	0.2230035091
347	0.2225499652
348	0.2222158037
349	0.2218481942
350	0.2215002872
351	0.2210772294
352	0.2208276723
353	0.2206183587
354	0.2203333809
355	0.2199886436
356	0.219858133
357	0.2195043093
358	0.2192809945
359	0.2189168068
360	0.2184335969
361	0.2178299812
362	0.2173598065
363	0.2168803307
364	0.216373482
365	0.2159864762
366	0.2155418771
367	0.2150017246
368	0.2145763493
369	0.2142775593
370	0.2137776964
371	0.2135842231
372	0.2131737778
373	0.2126007079
374	0.2122399959
375	0.2117668998
376	0.2111704408
377	0.2108825661
378	0.2103558913
379	0.2099103676
380	0.2094942371
381	0.2090655857
382	0.2086974188
383	0.2080434229
384	0.2076445429
385	0.2071961127
386	0.2067760066
387	0.2063340231
388	0.2059654484
389	0.2057015415
390	0.2054614318
391	0.2050607387
392	0.2047472868
393	0.2044730111
394	0.2040812108
395	0.203745169
396	0.2033752637
397	0.2031842817
398	0.2028092952
399	0.2027704813
400	0.2025421329
401	0.201990499
402	0.2014881074
403	0.2010649813
404	0.2006656195
405	0.2004296118
406	0.2001929523
407	0.199929966
408	0.199633497
409	0.1991640952
410	0.1988494345
411	0.1985363649
412	0.1983464164
413	0.19793479
414	0.1976361831
415	0.1973536908
416	0.1970710816
417	0.1968641904
418	0.1965007931
419	0.1960104101
420	0.195658567
421	0.1954093915
422	0.1949956218
423	0.194666187
424	0.1944423896
425	0.1940904896
426	0.1935766047
427	0.1933331393
428	0.1930543326
429	0.1925705394
430	0.1923055305
431	0.1918972547
432	0.1915673114
433	0.1912801702
434	0.1912435498
435	0.1909753924
436	0.1906963198
437	0.190304162
438	0.1901354969
439	0.1896857727
440	0.18945764
441	0.1892796528
442	0.1891134767
443	0.188905091
444	0.188548908
445	0.1883805764
446	0.1882201739
447	0.1877540825
448	0.1874010212
449	0.1870686128
450	0.1868030779
451	0.1865963463
452	0.1864677306
453	0.1861033985
454	0.1859883583
455	0.185666917
456	0.1852684043
457	0.1848982589
458	0.184511109
459	0.1840903364
460	0.183854067
461	0.1835768142
462	0.1833681127
463	0.1831650169
464	0.1827311949
465	0.1824627371
466	0.1821405239
467	0.1818990674
468	0.1815599178
469	0.181163781
470	0.1809395998
471	0.1809250905
472	0.1807559188
473	0.1805994193
474	0.1802833356
475	0.1799395944
476	0.179578678
477	0.1792893483
478	0.1788997124
479	0.178702433
480	0.1784442258
481	0.1780629499
482	0.1777859674
483	0.17747464
484	0.1772311453
485	0.1769429404
486	0.1766079169
487	0.1763726751
488	0.1761179132
489	0.1759276944
490	0.1757978525
491	0.1756577721
492	0.1754685499
493	0.17502255
494	0.1748393226
495	0.1746308603
496	0.1744691186
497	0.174178462
498	0.1738377531
499	0.1736330977
500	0.173476287
501	0.1734159445
502	0.1730892412
503	0.17283023
504	0.1725176354
505	0.1723856816
506	0.1722556689
507	0.1720159431
508	0.1716702681
509	0.1714574112
510	0.1711893121
511	0.1709608832
512	0.1708430035
513	0.1706579515
514	0.170297552
515	0.1701329563
516	0.1699751498
517	0.1697137736
518	0.1694995173
519	0.1692233961
520	0.1690915425
521	0.1688653696
522	0.1687080302
523	0.1682972067
524	0.1678949452
525	0.1677218129
526	0.1676261599
527	0.1675344018
528	0.1671751547
529	0.1669274767
530	0.1666627072
531	0.166308825
532	0.1659923307
533	0.1657474248
534	0.1655493582
535	0.1653605721
536	0.1650175115
537	0.1648989993
538	0.164686901
539	0.1645342349
540	0.1643549295
541	0.1640455033
542	0.1638674307
543	0.1635491456
544	0.1633125646
545	0.1630442351
546	0.162821099
547	0.1626557662
548	0.1624950167
549	0.1621792068
550	0.1619693524
551	0.161634914
552	0.1614296369
553	0.1612112488
554	0.1609911444
555	0.1607827006
556	0.1606751121
557	0.1603951989
558	0.1601807979
559	0.1599407814
560	0.1597598022
561	0.1596442157
562	0.1593929053
563	0.1592412731
564	0.1590974233
565	0.1587784836
566	0.1586504411
567	0.1583804933
568	0.1582218077
569	0.1579226048
570	0.1577068957
571	0.1574417986
572	0.1572374812
573	0.1568647237
574	0.1566331834
575	0.1565029222
576	0.1562478928
577	0.1559905198
578	0.1557767695
579	0.155384527
580	0.1551210316
581	0.1548611817
582	0.1547167675
583	0.1543833431
584	0.1542673562
