iter	Passed	Remaining
0	0	302
1	0	234
2	0	244
3	1	256
4	1	260
5	1	263
6	1	262
7	2	265
8	2	264
9	2	266
10	2	261
11	3	260
12	3	259
13	3	258
14	3	257
15	4	256
16	4	256
17	4	256
18	4	255
19	5	256
20	5	256
21	5	254
22	6	255
23	6	252
24	6	251
25	6	250
26	6	250
27	7	252
28	7	252
29	7	252
30	8	252
31	8	253
32	8	253
33	8	252
34	9	252
35	9	253
36	9	252
37	9	252
38	10	253
39	10	252
40	10	252
41	11	252
42	11	252
43	11	251
44	11	251
45	12	250
46	12	251
47	12	252
48	12	252
49	13	251
50	13	251
51	13	251
52	14	251
53	14	251
54	14	251
55	14	250
56	15	251
57	15	251
58	15	250
59	15	249
60	16	249
61	16	249
62	16	249
63	17	248
64	17	248
65	17	248
66	17	248
67	18	247
68	18	248
69	18	247
70	18	247
71	19	247
72	19	247
73	19	246
74	19	246
75	20	246
76	20	245
77	20	245
78	21	245
79	21	244
80	21	243
81	21	243
82	22	243
83	22	243
84	22	243
85	22	242
86	23	242
87	23	242
88	23	242
89	23	242
90	24	242
91	24	242
92	24	242
93	25	242
94	25	241
95	25	241
96	25	241
97	26	241
98	26	241
99	26	241
100	27	240
101	27	240
102	27	241
103	28	242
104	28	241
105	28	242
106	28	242
107	29	241
108	29	240
109	29	240
110	29	239
111	30	239
112	30	239
113	30	239
114	31	239
115	31	238
116	31	238
117	31	238
118	32	237
119	32	237
120	32	237
121	32	237
122	33	236
123	33	236
124	33	236
125	34	236
126	34	236
127	34	235
128	34	235
129	35	235
130	35	234
131	35	234
132	35	234
133	36	234
134	36	233
135	36	233
136	37	233
137	37	234
138	37	233
139	38	233
140	38	233
141	38	232
142	38	232
143	39	232
144	39	232
145	39	231
146	39	231
147	40	231
148	40	230
149	40	230
150	40	230
151	41	229
152	41	229
153	41	229
154	41	228
155	42	228
156	42	227
157	42	227
158	42	227
159	43	226
160	43	226
161	43	226
162	44	225
163	44	225
164	44	225
165	44	224
166	45	224
167	45	224
168	45	223
169	45	223
170	46	223
171	46	222
172	46	222
173	46	222
174	47	222
175	47	221
176	47	221
177	47	221
178	48	221
179	48	221
180	48	220
181	49	220
182	49	220
183	49	220
184	49	219
185	50	219
186	50	219
187	50	219
188	51	219
189	51	218
190	51	218
191	51	218
192	52	218
193	52	218
194	52	217
195	53	217
196	53	217
197	53	216
198	53	216
199	54	216
200	54	216
201	54	215
202	54	215
203	55	215
204	55	215
205	55	214
206	56	214
207	56	214
208	56	214
209	56	213
210	57	213
211	57	213
212	57	212
213	57	212
214	58	212
215	58	211
216	58	211
217	58	211
218	59	211
219	59	210
220	59	210
221	59	210
222	60	209
223	60	209
224	60	209
225	61	209
226	61	209
227	61	208
228	61	208
229	62	208
230	62	207
231	62	207
232	62	207
233	63	206
234	63	206
235	63	206
236	63	205
237	64	205
238	64	205
239	64	204
240	64	204
241	65	204
242	65	204
243	65	204
244	66	203
245	66	203
246	66	203
247	66	202
248	67	202
249	67	202
250	67	202
251	68	201
252	68	201
