iter	Passed	Remaining
0	0	400
1	0	349
2	1	341
3	1	336
4	1	326
5	1	308
6	2	309
7	2	310
8	2	327
9	3	329
10	3	325
11	3	321
12	4	332
13	4	321
14	4	318
15	5	316
16	5	316
17	5	315
18	6	310
19	6	308
20	6	307
21	7	315
22	7	316
23	7	315
24	8	314
25	8	314
26	8	313
27	8	312
28	9	311
29	9	312
30	9	311
31	10	311
32	10	310
33	10	311
34	11	310
35	11	309
36	11	308
37	12	308
38	12	307
39	12	307
40	13	304
41	13	304
42	13	304
43	14	307
44	14	306
45	14	306
46	15	309
47	15	308
48	15	308
49	16	307
50	16	307
51	16	306
52	17	305
53	17	305
54	17	304
55	18	303
56	18	303
57	18	303
58	19	303
59	19	302
60	19	302
61	19	301
62	20	300
63	20	300
64	20	300
65	21	299
66	21	297
67	21	297
68	22	297
69	22	297
70	22	297
71	22	296
72	23	296
73	23	294
74	23	292
75	24	292
76	24	291
77	24	291
78	25	291
79	25	291
80	25	290
81	25	290
82	26	290
83	26	288
84	26	288
85	27	287
86	27	287
87	27	286
88	27	286
89	28	285
90	28	286
91	28	285
92	29	284
93	29	284
94	29	284
95	30	283
96	30	283
97	30	283
98	31	282
99	31	282
100	31	281
101	31	281
102	32	280
103	32	280
104	32	279
105	33	279
106	33	278
107	33	278
108	33	277
109	34	277
110	34	275
111	34	275
112	35	275
113	35	274
114	35	274
115	35	273
116	36	273
117	36	273
118	37	274
119	37	273
120	37	273
121	37	273
122	38	273
123	38	272
124	38	272
125	39	271
126	39	273
127	40	273
128	40	272
129	40	272
130	40	271
131	41	272
132	41	271
133	42	271
134	42	271
135	42	272
136	43	271
137	43	270
138	43	270
139	43	270
140	44	269
141	44	270
142	45	270
143	45	269
144	45	269
145	45	268
146	46	268
147	46	267
148	46	267
149	47	267
150	47	267
151	47	267
152	48	267
153	48	267
154	49	267
155	49	267
156	49	266
157	49	266
158	50	265
159	50	265
160	51	266
161	51	265
162	51	265
163	52	265
164	52	264
165	52	264
166	53	264
167	53	264
168	53	263
169	53	263
170	54	263
171	54	262
172	54	262
173	55	261
174	55	261
175	55	260
176	56	260
177	56	259
178	56	259
179	56	259
180	57	259
181	57	258
182	57	258
183	58	258
184	58	257
185	58	257
186	59	257
187	59	257
188	59	257
189	60	256
190	60	256
191	60	256
192	61	255
193	61	255
194	61	254
195	61	254
196	62	254
197	62	254
198	63	253
199	63	253
200	63	252
201	63	252
202	64	252
203	64	251
204	64	251
205	65	251
206	66	253
207	66	253
208	66	252
209	67	252
210	67	252
211	67	251
212	68	251
213	68	251
214	68	250
215	68	250
216	69	250
217	69	249
218	69	249
219	70	249
220	70	248
221	70	248
222	71	248
223	71	247
224	71	247
225	72	246
226	72	246
227	72	246
228	73	245
229	73	245
230	73	245
231	73	244
232	74	244
233	74	243
234	74	243
235	75	243
236	75	243
237	76	243
238	76	243
239	76	243
240	77	242
241	77	242
242	77	241
243	77	241
244	78	241
245	78	240
246	78	240
247	79	240
248	79	239
249	79	239
250	80	239
251	80	238
252	80	238
253	80	237
254	81	237
255	81	236
256	81	236
257	82	236
258	82	235
259	82	235
260	83	235
261	83	235
262	83	235
263	84	234
264	84	234
265	84	234
266	85	233
267	85	233
268	85	232
269	85	232
270	86	232
271	86	231
272	86	231
273	87	231
274	87	230
275	87	230
276	88	229
277	88	229
278	88	229
279	89	228
280	89	228
281	89	228
282	90	228
283	90	227
284	90	227
285	91	227
286	91	226
287	91	226
288	91	226
289	92	225
290	92	225
291	92	225
292	93	224
293	93	224
294	93	224
295	94	223
296	94	223
297	94	223
298	95	222
299	95	222
300	95	222
301	96	221
302	96	221
303	96	221
304	96	220
305	97	220
306	97	220
307	97	219
308	98	219
309	98	219
310	98	218
311	99	218
312	99	218
313	99	217
314	100	217
315	100	217
316	100	216
317	100	216
318	101	216
319	101	215
320	101	215
321	102	214
322	102	214
323	102	214
324	102	213
325	103	213
326	103	212
327	103	212
328	104	212
329	104	211
330	104	211
331	104	211
332	105	210
333	105	210
334	105	210
335	106	209
336	106	209
337	106	209
338	107	208
339	107	208
340	107	208
341	108	207
342	108	207
343	108	207
344	109	207
345	109	206
346	109	206
347	109	206
348	110	205
349	110	205
350	110	205
351	111	204
352	111	204
353	111	204
354	112	203
355	112	203
356	112	203
357	113	202
358	113	202
359	113	202
360	114	201
361	114	201
362	114	201
363	115	201
364	115	200
365	115	200
366	115	199
367	116	199
368	116	199
369	116	198
370	117	198
371	117	198
372	117	197
373	117	197
374	118	196
375	118	196
376	118	196
377	119	195
378	119	195
379	119	195
380	120	195
381	120	194
382	120	194
383	121	194
384	121	193
385	121	193
386	122	193
387	122	192
388	122	192
389	122	192
390	123	191
391	123	191
392	123	191
393	124	190
394	124	190
395	124	190
396	125	190
397	125	189
398	125	189
399	126	189
400	126	188
401	126	188
402	127	188
403	127	187
404	127	187
405	127	187
406	128	186
407	128	186
408	128	186
409	129	185
410	129	185
411	129	185
